"","score","text"
"1",-1,"Shoes Ink Egg etc felng ashamed of being thrown at #Kejriwal many wth kejriwal surname stopd wrtng it wth thr names for.fear they mght b hit"
"2",1,"RT @malviyamit: Why is it that #Kejriwal routinely gets slapped and inked by his own party workers? Well, here is a small sample.. https://…"
"3",1,"Indra:Is there #Kejriwal whois doing v.good on earth
Narad:How you came to know
Indra:Add of his works is published in news papers of haven"
"4",-1,"RT @DrGarekar: #NitishKumar is more dangerous than #Kejriwal who is playing ReservationFactor to his advantage,more ReservationQuota in Gov…"
"5",1,"#Congress @INCIndia ke jumale bhi catchy hone lage hain aajkal.
#Kejriwal 
https://t.co/Jgupj0eS2W"
"6",0,"RT @DrGarekar: Except Zee all other TV Newschannels are in pay roll of #Kejriwal by cash or kind.(Ads) https://t.co/WdhLQHX1RP"
"7",-1,"WITH RECENT ATTACK ON #DELHI'S CM, #KEJRIWAL BECOMES MOST ATTACKED POLITICIAN

https://t.co/JL5HQS88xC https://t.co/gdSr7o4P5D"
"8",0,"RT @DrGarekar: #NitishKumar wants to shadow #Kejriwal by one upsmanship  https://t.co/9IUiETORZo"
"9",0,"RT @VivegamNews: <U+0BAA><U+0BA4><U+0BCD><U+0BA4><U+0BBF><U+0BB0><U+0BBF><U+0B95><U+0BCD><U+0B95><U+0BC8><U+0BAF><U+0BBE><U+0BB3><U+0BB0><U+0BCD> <U+0B9A><U+0BA8><U+0BCD><U+0BA4><U+0BBF><U+0BAA><U+0BCD><U+0BAA><U+0BBF><U+0BB2><U+0BCD> <U+0B95><U+0BC2><U+0B9F><U+0BCD><U+0B9F><U+0BA4><U+0BCD><U+0BA4><U+0BBF><U+0BB2><U+0BCD> <U+0B95><U+0BC6><U+0B9C><U+0BCD><U+0BB0><U+0BBF><U+0BB5><U+0BBE><U+0BB2><U+0BCD> <U+0BAE><U+0BC0><U+0BA4><U+0BC1> <U+0B9A><U+0BC6><U+0BB0><U+0BC1><U+0BAA><U+0BCD><U+0BAA><U+0BC1> <U+0BB5><U+0BC0><U+0B9A><U+0BCD><U+0B9A><U+0BC1> #Shoe #Delhi #kejriwal  @ArvindKejriwal https://t…"
"10",0,"RT @Mitalishah121: <U+092C><U+0948><U+0920><U+0947> <U+092C><U+0948><U+0920><U+0947> <U+0915><U+094D><U+092F><U+093E> <U+0915><U+0930><U+0947>, <U+0928><U+0939><U+0940> #<U+0915><U+0930><U+0928><U+093E> <U+0939><U+0948> <U+0915><U+0941><U+091B> <U+0915><U+093E><U+092E>, <U+0936><U+0941><U+0930><U+0942> <U+0915><U+0930><U+094B> <U+0905><U+0902><U+0924><U+093E><U+0915><U+094D><U+0937><U+0930><U+0940>, <U+0932><U+0947><U+0915><U+0947> #<U+0930><U+093E><U+092F><U+0924><U+093E> <U+0915><U+093E> <U+0928><U+093E><U+092E>.
<U+091A><U+0932><U+094B> <U+092E> <U+0938><U+0947> <U+0917><U+093E><U+0913>.
#Kejriwal- #<U+092E><U+094B><U+0926><U+0940>... http…"
"11",0,"RT @rohinikasharma: Lalu jail se bahar ha Jamanat par,
rahul gandhi b..sonia gandhi b...
or ab kejriwal bhi. #Kejriwal #ArvindShoeAttack"
"12",0,"<U+0915><U+0947><U+091C><U+0930><U+0940><U+0935><U+093E><U+0932> <U+091C><U+0940> <U+0926><U+093F><U+0932><U+094D><U+0932><U+0940> <U+092A><U+0930> <U+090F><U+0915> <U+0915><U+093F><U+0924><U+093E><U+092C> <U+0932><U+093F><U+0916> <U+0930><U+0939><U+0947> <U+0939><U+0948> 
<U+092C><U+0947><U+0935><U+0915><U+0942><U+092B> <U+092C><U+0928><U+093E><U+0913> <U+0930><U+094B><U+091C><U+093C>
#Kejriwal 
@ajaymaken @Sharmistha_GK @MaswoodZ @DelhiPCC"
"13",0,"#SYL <U+092A><U+0930> #Haryana <U+0915><U+093E> <U+0938><U+092E><U+0930><U+094D><U+0925><U+0928> <U+0915><U+0930><U+0928><U+0947> <U+092A><U+0930> #Kejriwal <U+092E><U+093E><U+092B><U+0940> <U+092E><U+093E><U+0902><U+0917><U+0947><U+0902>: #AmarinderSingh https://t.co/2kfzu757IJ  @capt_amarinder https://t.co/LchUAm6Nzd"
